Abel,Abellel
Abigel,Abigellel
Adam,Adammal
Adel,Adellal
Adrian,Adriannal
Adrienn,Adriennel
Agnes,Agnessel
Akos,Akossal
Albert,Alberttel
Alex,Alex-el
Alexa,Alexaval
Alexander,Alexanderrel
Alexandra,Alexandraval
Aliz,Alizzal
Amanda,Amandaval
Amira,Amiraval
Andor,Andorral
Andras,Andrassal
Andrea,Andreaval
Anett,Anettel
Aniko,Anikoval
Anita,Anitaval
Anna,Annaval
Annamaria,Annamariaval
Antal,Antallal
Aranka,Arankaval
Armin,Arminnal
Arnold,Arnolddal
Aron,Aronnal
Arpad,Arpaddal
Attila,Attilaval
Balazs,Balazssal
Balint,Balinttal
Barbara,Barbaraval
Barna,Barnaval
Barnabas,Barnabassal
Beata,Beataval
Beatrix,Beatrix-al
Bela,Belaval
Bence,Bencevel
Bendeguz,Bendeguzzal
Benedek,Benedekkel
Benett,Benettel
Benjamin,Benjaminnal
Bernadett,Bernadettel
Bertalan,Bertalannal
Bettina,Bettinaval
Bianka,Biankaval
Biborka,Biborkaval
Blanka,Blankaval
Boglarka,Boglarkaval
Boldizsar,Boldizsarral
Borbala,Borbalaval
Boroka,Borokaval
Botond,Botonddal
Brendon,Brendonnal
Brigitta,Brigittaval
Bulcsu,Bulcsuval
Cintia,Cintiaval
Csaba,Csabaval
Csanad,Csanaddal
Csenge,Csengevel
Csilla,Csillaval
Csongor,Csongorral
Dalma,Dalmaval
Daniel,Daniellel
David,Daviddal
Denes,Denessel
Dezso,Dezsovel
Diana,Dianaval
Dominik,Dominikkal
Domonkos,Domonkossal
Donat,Donattal
Dora,Doraval
Dorian,Doriannal
Dorina,Dorinaval
Dorka,Dorkaval
Dorottya,Dorottyaval
Dzsenifer,Dzseniferrel
Dzsesszika,Dzsesszikaval
Edina,Edinaval
Edit,Edittel
Elek,Elekkel
Elemer,Elemerrel
Elizabet,Elizabettel
Emese,Emesevel
Emil,Emillel
Emilia,Emiliaval
Emma,Emmaval
Endre,Endrevel
Eniko,Enikovel
Erik,Erikkal
Erika,Erikaval
Erno,Ernovel
Ervin,Ervinnel
Erzsebet,Erzsebettel
Eszter,Eszterrel
Etelka,Etelkaval
Eva,Evaval
Evelin,Evelinnel
Fanni,Fannival
Ferenc,Ferenccel
Flora,Floraval
Florian,Floriannal
Fruzsina,Fruzsinaval
Gabor,Gaborral
Gabriella,Gabriellaval
Gellert,Gellerttel
Gergely,Gergellyel
Gergo,Gergovel
Geza,Gezaval
Gizella,Gizellaval
Greta,Gretaval
Gusztav,Gusztavval
Gyongyi,Gyongyivel
Gyorgy,Gyorggyel
Gyorgyi,Gyorgyivel
Gyozo,Gyozovel
Gyula,Gyulaval
Hajnalka,Hajnalkaval
Hanga,Hangaval
Hanna,Hannaval
Henrietta,Henriettaval
Henrik,Henrikkel
Hunor,Hunorral
Ibolya,Ibolyaval
Ida,Idaval
Ildiko,Ildikoval
Ilona,Ilonaval
Imre,Imrevel
Iren,Irennel
Irma,Irmaval
Istvan,Istvannal
